OID_,S1_pixel_ID,class,AREA,PERCENTAGE
770,1301,rough,33.44592138,33.44592136
771,1302,rough,32.95950922,32.95950923
772,1303,smooth,100,100.0000002
773,1305,rough,66.81275584,66.81275577
774,1306,water,4.54537803,4.545378028
775,1308,mixed,100,100
776,1309,rough,39.25119282,39.25119275
777,1310,smooth,100,100
778,1311,rough,52.1034667,52.10346668
779,1313,rough,100,99.99999996
780,1318,water,20.49795205,20.49795205
781,1321,rough,100,100.0000002
782,1323,rough,98.51194937,98.51194915
783,1324,water,65.06321043,65.06321045
784,1325,smooth,100,99.99999989
785,1327,rough,0.11367843,0.11367843
786,1328,water,41.89863445,41.89863441
787,1330,water,57.67285162,57.67285173
788,1333,rough,39.6190524,39.61905232
789,1334,rough,24.47190934,24.47190931
790,1335,rough,28.68218108,28.68218103
791,1336,mixed,99.70162612,99.70162623
792,1337,smooth,0.44023361,0.440233609
793,1340,smooth,79.09983314,79.09983305
794,1347,smooth,100,100.0000002
795,1348,water,7.99983689,7.999836905
796,1349,mixed,100,99.99999966
797,1350,smooth,100,100
798,1352,smooth,52.3749191,52.37491904
799,1353,rough,45.4685,45.46849995
800,1356,mixed,100,99.99999996
801,1358,rough,7.56583991,7.565839913
802,1361,smooth,40.93334872,40.93334874
803,1362,rough,30.082,30.08200004
804,1363,mixed,99.64986112,99.64986108
805,1365,mixed,16.2035223,16.20352231
806,1365,rough,6.43673013,6.436730132
807,1366,mixed,100,100
808,1367,mixed,83.1012742,83.10127405
809,1368,rough,8.11925256,8.119252542
810,1369,mixed,100,100
811,1370,mixed,76.8085,76.80850009
812,1373,mixed,6.1051702,6.105170193
813,1375,rough,14.63730374,14.63730377
814,1376,smooth,100,100
815,1377,mixed,40.30204222,40.30204217
816,1377,rough,1.07955177,1.079551769
817,1378,smooth,98.41085649,98.41085653
818,1380,mixed,100,100.0000001
819,1381,rough,75.571853,75.57185297
820,1384,smooth,100,99.99999996
821,1385,smooth,29.78459108,29.78459107
822,1387,rough,35.1389526,35.13895261
823,1388,rough,2.62566804,2.625668043
824,1389,smooth,100,99.99999996
825,1392,water,61.13928911,61.13928914
826,1393,smooth,44.82582023,44.82582018
827,1394,water,64.82402373,64.82402388
828,1396,rough,41.12239875,41.12239874
829,1398,rough,16.2654608,16.26546078
830,1402,smooth,100,100.0000001
831,1404,mixed,75.65750785,75.65750782
832,1405,smooth,86.78605323,86.78605339
833,1406,mixed,100,100
834,1408,smooth,90.441,90.44100003
835,1411,rough,10.39456592,10.39456593
836,1416,mixed,100,99.99999989
837,1417,smooth,99.9621181,99.96211814
838,1418,rough,67.50972588,67.50972568
839,1418,water,18.62311076,18.6231107
840,1419,rough,5.066243975,5.066243969
841,1422,rough,100,99.99999996
842,1423,mixed,39.8305,39.83049996
843,1424,mixed,100,100
844,1425,rough,1.18010505,1.180105049
845,1426,mixed,100,99.99999996
846,1427,mixed,100,99.99999989
847,1431,mixed,100,99.99999989
848,1432,rough,52.97527739,52.97527741
849,1433,water,91.48236641,91.48236641
850,1434,smooth,100,100
851,1439,mixed,87.98411479,87.98411489
852,1442,mixed,74.12150978,74.12150969
853,1443,mixed,100,100
854,1445,mixed,92.52344025,92.52344022
855,1446,mixed,100,99.99999996
856,1447,smooth,16.87536928,16.87536929
857,1448,rough,33.44116181,33.44116178
858,1449,mixed,100,100
859,1452,water,2.97993052,2.979930517
860,1455,mixed,7.9681144,7.968114397
861,1457,mixed,20.70977652,20.70977653
862,1459,smooth,22.1685,22.16849996
863,1461,smooth,100,99.99999996
864,1465,smooth,100,100.0000001
865,1467,rough,20.70387949,20.70387951
866,1471,smooth,15.49926548,15.49926546
867,1472,rough,73.13602413,73.1360241
868,1476,mixed,22.0045,22.00449999
869,1477,smooth,100,99.99999996
870,1478,smooth,100,99.99999978
871,1480,rough,100,100
872,1481,smooth,100,100
873,1492,rough,68.65762425,68.65762438
874,1494,mixed,57.7447039,57.744704
875,1495,smooth,57.19915018,57.1991502
876,1496,water,5.86814738,5.868147378
877,1497,smooth,12.37743477,12.37743477
878,1498,smooth,63.3313603,63.33136032
879,1501,rough,16.44204138,16.4420414
880,1502,smooth,96.51687433,96.51687433
881,1506,smooth,100,99.99999996
882,1507,rough,32.90785046,32.90785043
883,1512,smooth,100,99.99999989
884,1513,mixed,62.84695243,62.84695245
885,1518,mixed,97.96571134,97.9657113
886,1519,rough,100,99.99999989
887,1521,smooth,100,99.99999989
888,1524,mixed,100,100.0000001
889,1525,rough,99.29410016,99.2941002
890,1529,mixed,100,100.0000002
891,1533,rough,98.66139576,98.66139584
892,1535,smooth,66.30771165,66.30771168
893,1537,smooth,100,99.99999989
894,1538,smooth,2.2176958,2.217695804
895,1541,smooth,100,99.99999996
896,1543,mixed,100,99.99999989
897,1544,smooth,100,99.99999978
898,1545,rough,57.65963008,57.65963014
899,1546,smooth,100,99.99999996
900,1547,smooth,100,100.0000001
901,1548,smooth,100,100.0000001
902,1549,smooth,16.26,16.26000002
903,1550,smooth,100,100.0000001
904,1551,water,46.58389118,46.58389113
905,1552,rough,99.10293098,99.10293109
906,1554,smooth,97.86759835,97.86759861
907,1556,mixed,96.305594,96.30559411
908,1558,rough,29.81272905,29.8127291
909,1559,rough,15.96030826,15.96030824
910,1560,rough,3.8920364,3.892036404
911,1561,mixed,17.8674104,17.86741039
912,1561,water,11.95599539,11.95599538
913,1562,smooth,53.1295,53.12949994
914,1564,rough,0.2849847,0.2849847
915,1565,mixed,100,100.0000001
916,1568,rough,33.12114124,33.1211412
917,1569,rough,36.26271912,36.26271912
918,1570,mixed,40.74545968,40.74545962
919,1571,mixed,100,99.99999996
920,1572,smooth,68.25063688,68.25063691
921,1573,rough,97.0336303,97.03363041
922,1574,mixed,100,100
923,1575,mixed,24.1203883,24.12038831
924,1575,rough,13.24172407,13.24172407
925,1576,mixed,100,99.99999996
926,1582,water,2.23930277,2.239302769
927,1583,mixed,100,100.0000001
928,1584,mixed,100,99.99999996
929,1585,smooth,93.197,93.19700028
930,1588,rough,97.81218757,97.81218753
931,1589,smooth,100,99.99999978
932,1591,smooth,100,100.0000002
933,1594,water,12.5667903,12.5667903
934,1596,mixed,86.2085,86.20850003
935,1597,water,1.556194415,1.556194412
936,1600,mixed,100,100.0000001
937,1601,mixed,100,100
938,1602,rough,0.00073425,0.00073425
939,1605,rough,76.78394812,76.78394809
940,1606,mixed,100,99.99999981
941,1608,smooth,95.0355,95.03550011
942,1610,mixed,88.80934488,88.80934485
943,1611,rough,88.3540128,88.3540129
944,1612,rough,45.965145,45.96514509
945,1614,smooth,100,99.99999996
946,1616,mixed,100,99.99999989
947,1617,smooth,100,100.0000003
948,1618,smooth,100,99.99999978
949,1620,smooth,100,99.99999996
950,1621,rough,66.08659664,66.08659669
951,1625,smooth,100,100.0000001
952,1627,rough,35.85144495,35.85144494
953,1628,mixed,100,99.99999981
954,1629,rough,2.8614123,2.861412296
955,1630,smooth,100,99.99999989
956,1632,rough,23.74993913,23.74993912
957,1634,smooth,100,99.99999996
958,1635,rough,17.30504693,17.30504694
959,1636,mixed,99.80807378,99.80807345
960,1638,rough,54.63220378,54.63220376
961,1639,smooth,70.59329152,70.5932917
962,1641,smooth,100,100.0000001
963,1644,smooth,100,99.99999996
964,1645,smooth,100,100.0000002
965,1647,mixed,0.38550414,0.38550414
966,1648,smooth,68.89323184,68.89323182
967,1652,mixed,100,100.0000001
968,1653,rough,100,99.99999996
969,1654,mixed,100,99.99999989
970,1655,mixed,96.67051281,96.6705127
971,1656,mixed,100,99.99999989
972,1661,rough,29.61825071,29.61825067
973,1663,rough,61.93359063,61.9335907
974,1665,smooth,99.88282865,99.88282869
975,1666,rough,74.29261507,74.29261515
976,1667,smooth,82.20222684,82.20222681
977,1668,smooth,100,99.99999996
978,1669,mixed,99.93096466,99.93096469
979,1670,rough,100,99.99999989
980,1672,smooth,100,99.99999989
981,1673,water,72.21278525,72.21278522
982,1677,smooth,45.854,45.85399998
983,1678,rough,0.558682585,0.558682585
984,1679,rough,11.36426015,11.36426015
985,1682,smooth,78.71170749,78.71170752
986,1684,smooth,100,99.99999996
987,1686,mixed,100,99.99999989
988,1687,smooth,97.61370623,97.6137062
989,1688,rough,17.65257406,17.65257404
990,1689,rough,6.59626607,6.596266092
991,1690,rough,100,99.99999996
992,1692,mixed,4.52274507,4.522745072
993,1692,rough,5.46938414,5.469384142
994,1693,rough,43.40395156,43.40395151
995,1694,mixed,100,99.99999996
996,1695,smooth,100,100
997,1698,rough,37.12091521,37.12091522
998,1699,water,100,99.99999985
999,1700,smooth,100,99.99999996
1000,1703,smooth,100,99.99999996
1001,1704,water,0.917140025,0.917140026
1002,1707,smooth,100,100
1003,1708,rough,26.77285162,26.77285163
1004,1709,mixed,12.00862504,12.00862506
1005,1712,rough,43.92756242,43.92756238
1006,1714,rough,98.2256524,98.22565236
1007,1720,mixed,100,100.0000002
1008,1721,smooth,100,99.99999996
1009,1724,rough,35.2412853,35.24128529
1010,1725,mixed,100,100.0000003
1011,1726,mixed,86.04631502,86.04631499
1012,1727,smooth,21.4114459,21.41144588
1013,1728,smooth,100,100
1014,1729,mixed,100,100
1015,1730,rough,98.02658438,98.02658452
1016,1731,water,50.20847127,50.20847129
1017,1732,rough,3.62831857,3.628318577
1018,1735,rough,19.19077774,19.19077773
1019,1737,mixed,0.01809618,0.01809618
1020,1738,mixed,100,100
1021,1740,rough,100,100.0000001
1022,1744,rough,34.24655295,34.24655289
1023,1746,smooth,100,99.99999996
1024,1749,water,22.29684845,22.29684842
1025,1750,mixed,100,100.0000002
1026,1751,smooth,13.73368486,13.73368485
1027,1754,rough,58.98968291,58.98968289
1028,1757,rough,16.52647376,16.5264738
1029,1757,water,0.17526867,0.17526867
1030,1758,mixed,100,100
1031,1759,smooth,87.94666104,87.94666104
1032,1760,water,14.8945582,14.89455821
1033,1762,mixed,51.92723456,51.92723466
1034,1763,rough,91.84509,91.8450901
1035,1765,mixed,90.92137582,90.92137579
1036,1766,mixed,100,100
1037,1767,rough,46.00756449,46.00756456
1038,1769,smooth,100,99.99999985
1039,1771,rough,26.56044771,26.56044768
1040,1774,water,27.952814,27.95281395
1041,1775,smooth,100,99.99999978
1042,1779,smooth,95.07770633,95.07770651
1043,1780,rough,27.88107269,27.88107266
1044,1781,rough,40.45676257,40.45676252
1045,1783,smooth,92.057492,92.0574919
1046,1784,rough,5.88205539,5.882055379
1047,1786,smooth,100,99.99999989
1048,1787,rough,86.74871682,86.74871686
1049,1788,smooth,15.2,15.19999998
1050,1789,smooth,67.62045316,67.62045316
1051,1791,water,0.542251785,0.542251785
1052,1792,smooth,95.62473197,95.62473194
1053,1793,rough,92.04507001,92.04507011
1054,1794,smooth,63.9463213,63.94632128
1055,1795,mixed,100,100
1056,1796,rough,56.17968308,56.17968302
1057,1799,water,31.6839693,31.68396929
1058,1802,mixed,100,99.99999996
1059,1803,smooth,100,99.99999996
1060,1804,rough,0.76286615,0.762866151
1061,1806,mixed,43.654,43.65400005
1062,1809,rough,64.24564412,64.2456442
1063,1810,mixed,56.449,56.44899998
1064,1811,rough,100,100
1065,1812,mixed,100,100
1066,1817,rough,3.6242123,3.624212301
1067,1822,water,100,99.99999993
1068,1823,smooth,63.4424142,63.44241413
1069,1825,water,79.80313871,79.8031388
1070,1826,smooth,100,100
1071,1827,smooth,100,100
1072,1828,mixed,11.19405656,11.19405656
1073,1829,rough,26.44837191,26.4483719
1074,1830,smooth,81.61621822,81.61621831
1075,1831,smooth,100,99.99999996
1076,1832,rough,0.00081302,0.00081302
1077,1833,rough,5.589481715,5.589481717
1078,1835,rough,34.64443257,34.64443256
1079,1836,rough,100,100.0000002
1080,1837,mixed,100,99.99999989
1081,1839,mixed,100,99.99999996
1082,1840,rough,39.80378912,39.80378911
1083,1841,water,86.65487833,86.65487849
1084,1843,mixed,100,99.99999996
1085,1844,smooth,99.68287508,99.68287504
1086,1846,mixed,100,100.0000001
1087,1847,smooth,100,99.99999989
1088,1848,smooth,100,99.99999996
1089,1850,mixed,41.12846688,41.1284668
1090,1852,rough,18.22603925,18.22603928
1091,1853,rough,43.85929592,43.85929594
1092,1857,rough,34.90553861,34.9055386
1093,1857,water,8.321594125,8.321594122
1094,1859,smooth,33.74031956,33.7403196
1095,1860,smooth,100,100.0000001
1096,1862,smooth,100,99.99999989
1097,1863,rough,0.033381975,0.033381975
1098,1866,rough,36.00021685,36.00021684
1099,1867,mixed,100,99.99999996
1100,1868,rough,1.71447813,1.714478129
1101,1873,smooth,100,99.99999974
1102,1874,smooth,100,99.99999989
1103,1876,water,63.0227079,63.02270788
1104,1877,smooth,100,99.99999989
1105,1878,mixed,100,99.99999996
1106,1879,mixed,100,99.99999996
1107,1880,rough,2.045509965,2.045509961
1108,1881,mixed,100,100.0000001
1109,1882,mixed,100,100.0000003
1110,1883,rough,100,99.99999996
1111,1885,mixed,100,100
1112,1887,mixed,14.93935246,14.93935243
1113,1888,rough,53.88778189,53.88778196
1114,1889,smooth,11.9315,11.93150002
1115,1890,mixed,49.5195,49.51950002
1116,1891,rough,0.02918866,0.02918866
1117,1892,smooth,99.77244352,99.77244364
1118,1894,water,9.6986085,9.698608493
1119,1897,mixed,100,100
1120,1899,mixed,98.11485949,98.11485945
1121,1900,mixed,100,99.99999996
1122,1901,rough,11.08995742,11.08995741
1123,1903,rough,43.65088872,43.65088892
1124,1905,rough,7.068213015,7.068213012
1125,1906,rough,1.03271705,1.03271705
1126,1908,smooth,100,99.99999985
1127,1909,smooth,96.72320528,96.72320539
1128,1912,mixed,7.13769997,7.137699978
1129,1913,smooth,100,99.99999996
1130,1916,rough,1.575057855,1.575057857
1131,1920,rough,66.43104633,66.43104635
1132,1924,rough,56.28337052,56.28337046
1133,1925,rough,19.22742707,19.22742711
1134,1927,mixed,100,99.99999989
1135,1931,rough,39.84687848,39.84687849
1136,1933,smooth,25.55994213,25.55994218
1137,1934,rough,23.44829931,23.44829934
1138,1936,water,17.1077319,17.10773189
1139,1941,rough,57.69110625,57.69110631
1140,1942,water,4.17740678,4.177406785
1141,1945,rough,0.14356992,0.14356992
1142,1947,rough,17.00186015,17.00186012
1143,1948,smooth,100,100
1144,1949,mixed,19.1865,19.18649999
1145,1952,mixed,83.45365081,83.45365084
1146,1953,rough,24.30658287,24.30658284
1147,1954,rough,30.81335652,30.81335651
1148,1956,rough,0.30545268,0.30545268
1149,1957,mixed,97.64057752,97.64057734
1150,1959,rough,53.79401409,53.79401409
1151,1963,mixed,100,99.99999996
1152,1965,rough,15.98191403,15.98191401
1153,1967,rough,18.07392581,18.0739258
1154,1968,rough,100,100
1155,1971,smooth,95.928,95.92800018
1156,1972,smooth,100,100.0000002
1157,1973,mixed,1.23337341,1.23337341
1158,1973,water,71.75049148,71.75049151
1159,1974,rough,65.61648281,65.61648293
1160,1975,mixed,100,100.0000001
1161,1980,rough,98.24046166,98.2404617
1162,1982,smooth,98.11013493,98.11013482
1163,1983,mixed,100,100
1164,1984,smooth,100,99.99999981
1165,1985,mixed,99.85038752,99.85038763
1166,1986,rough,44.86036968,44.86036969
1167,1986,smooth,0.01374695,0.01374695
1168,1987,rough,18.3554154,18.3554154
1169,1988,rough,9.25475978,9.254759791
1170,1991,smooth,99.82920384,99.82920395
1171,1992,rough,100,100
1172,1995,rough,87.04566166,87.04566166
1173,2004,mixed,100,100.0000001
1174,2005,smooth,100,100.0000001
1175,2006,rough,4.290702735,4.29070273
1176,2009,mixed,44.8878859,44.88788585
1177,2010,mixed,100,99.99999996
1178,2011,smooth,100,99.99999989
1179,2012,mixed,100,99.99999996
1180,2013,smooth,100,99.99999996
1181,2014,mixed,100,99.99999996
1182,2015,smooth,10.81896651,10.8189665
1183,2017,rough,38.13832406,38.13832399
1184,2022,mixed,5.47278873,5.472788732
1185,2023,mixed,0.06292294,0.06292294
1186,2023,rough,0.071714985,0.071714985
1187,2024,mixed,100,100
1188,2025,mixed,1.6375483,1.637548301
1189,2025,water,3.670032275,3.670032276
1190,2030,mixed,100,99.99999996
1191,2031,water,51.27285945,51.27285951
1192,2033,rough,49.17324801,49.17324808
1193,2034,smooth,83.56549512,83.56549515
1194,2035,rough,100,100.0000001
1195,2036,smooth,100,99.99999978
1196,2038,rough,100,100
1197,2039,rough,55.92757681,55.92757688
1198,2040,mixed,100,100
1199,2041,smooth,4.11809559,4.118095592
1200,2042,rough,1.18526601,1.185266007
1201,2043,mixed,100,100.0000002
1202,2045,mixed,28.95,28.95000001
1203,2046,rough,93.64038562,93.64038559
1204,2049,smooth,100,100.0000001
1205,2050,rough,96.87557584,96.8755758
1206,2052,rough,73.632,73.63199992
1207,2053,mixed,100,99.99999996
1208,2054,smooth,100,100.0000001
1209,2055,rough,23.74992237,23.7499224
1210,2057,mixed,87.31363698,87.31363695
1211,2057,water,0.67252761,0.67252761
1212,2058,rough,29.52360817,29.52360811
1213,2059,rough,90.16732271,90.16732274
1214,2061,rough,8.534251015,8.534251012
1215,2062,rough,12.32838261,12.32838261
1216,2064,rough,39.53206802,39.53206803
1217,2065,mixed,77.95355191,77.953552
1218,2067,mixed,100,99.99999996
1219,2071,mixed,24.77325429,24.77325429
1220,2072,mixed,60.647,60.64700007
1221,2073,mixed,100,99.99999974
1222,2074,rough,64.36714989,64.36714992
1223,2075,rough,14.3601,14.36009998
1224,2077,mixed,100,99.99999989
1225,2078,smooth,80.68,80.68000003
1226,2079,mixed,100,99.99999996
1227,2081,smooth,100,99.99999978
1228,2082,rough,99.37601248,99.37601244
1229,2083,mixed,100,100.0000001
1230,2084,smooth,100,99.99999996
1231,2085,mixed,100,99.99999996
1232,2088,mixed,100,100
1233,2089,smooth,100,100
1234,2090,rough,63.78185957,63.78185955
1235,2091,smooth,100,100
1236,2092,rough,0.5003394,0.5003394
1237,2095,rough,98.53330058,98.53330054
1238,2097,smooth,100,99.99999996
1239,2098,rough,100,99.99999996
1240,2099,mixed,96.2532539,96.25325386
1241,2101,smooth,100,100.0000001
1242,2102,mixed,0.782624025,0.782624023
1243,2104,rough,28.7334202,28.73342024
1244,2105,rough,100,99.99999996
1245,2106,smooth,100,99.99999981
1246,2107,mixed,86.80459443,86.80459433
1247,2108,smooth,100,100.0000001
1248,2109,mixed,70.71537664,70.71537677
1249,2113,rough,34.61082297,34.61082303
1250,2114,smooth,100,99.99999989
1251,2117,mixed,100,99.99999974
1252,2118,mixed,100,100.0000001
1253,2122,rough,100,99.99999996
1254,2123,smooth,100,99.99999996
1255,2124,rough,87.78094545,87.78094535
1256,2125,rough,7.48290612,7.482906109
1257,2127,smooth,98.97089265,98.97089261
1258,2131,rough,29.99510165,29.99510162
1259,2132,rough,100,99.99999996
1260,2133,water,90.66421741,90.66421758
1261,2135,smooth,100,99.99999996
1262,2139,rough,91.96262807,91.96262797
1263,2140,rough,0.1795092,0.1795092
1264,2142,rough,0.309842845,0.309842845
1265,2143,rough,79.57665188,79.57665185
1266,2147,rough,45.36953665,45.36953671
1267,2148,rough,100,99.99999996
1268,2150,smooth,100,99.99999996
1269,2151,mixed,100,99.99999989
1270,2153,rough,94.33317491,94.33317487
1271,2154,rough,41.24891279,41.2489128
1272,2156,mixed,74.42979891,74.42979894
1273,2158,smooth,23.0885,23.08849997
1274,2159,mixed,84.6108352,84.61083523
1275,2160,mixed,0.4286256,0.428625599
1276,2163,smooth,54.84587244,54.8458725
1277,2164,rough,100,100.0000002
1278,2165,smooth,100,99.99999989
1279,2166,mixed,18.6696473,18.66964731
1280,2169,smooth,0.08678619,0.08678619
1281,2172,smooth,100,99.99999989
1282,2173,rough,21.76340389,21.7634039
1283,2176,mixed,16.21511465,16.21511464
1284,2176,rough,13.12807004,13.12807004
1285,2177,mixed,94.38292325,94.38292336
1286,2178,smooth,5.6873304,5.687330402
1287,2180,smooth,100,99.99999996
1288,2181,water,8.8586205,8.858620497
1289,2184,rough,7.870345895,7.870345889
1290,2185,smooth,60.53970732,60.53970739
1291,2186,rough,7.104139885,7.104139877
1292,2188,smooth,100,100.0000002
1293,2192,smooth,100,100.0000002
1294,2194,mixed,98.39314504,98.39314493
1295,2195,rough,56.04717064,56.04717053
1296,2196,smooth,100,100.0000001
1297,2197,rough,5.62016808,5.620168074
1298,2198,mixed,100,100
1299,2199,smooth,96.691,96.69100011
1300,2202,rough,4.220806745,4.22080675
1301,2203,rough,43.53600711,43.53600712
1302,2204,mixed,38.40482824,38.40482823
1303,2205,rough,15.25659325,15.25659326
1304,2207,mixed,97.79121433,97.79121451
1305,2209,mixed,20.878,20.87799999
1306,2212,rough,58.8818244,58.88182438
1307,2214,rough,1.2297285,1.229728496
1308,2215,rough,57.16317132,57.16317126
1309,2216,smooth,100,99.99999996
1310,2217,mixed,2.54465241,2.544652409
1311,2220,smooth,66.386,66.38600002
1312,2221,rough,81.59936896,81.59936889
1313,2224,water,88.05901358,88.05901338
1314,2227,rough,86.40721065,86.40721062
1315,2228,water,81.23252657,81.23252642
1316,2229,smooth,100,99.99999996
1317,2231,mixed,100,100
1318,2232,smooth,100,100.0000001
1319,2234,rough,0.32053125,0.32053125
1320,2235,water,0.756030425,0.756030426
1321,2236,rough,13.77924332,13.77924331
1322,2237,mixed,100,99.99999981
1323,2238,rough,18.91788282,18.91788282
1324,2239,smooth,100,99.99999978
1325,2240,rough,18.23803411,18.23803416
1326,2244,rough,73.53260023,73.53260026
1327,2245,rough,91.34064581,91.34064564
1328,2247,mixed,16.67878668,16.6787867
1329,2249,mixed,100,100.0000001
1330,2258,water,51.49637621,51.49637613
1331,2259,mixed,0.65993326,0.65993326
1332,2259,rough,0.14664005,0.14664005
1333,2260,smooth,100,99.99999996
1334,2263,mixed,100,100
1335,2266,smooth,47.27,47.27000002
1336,2268,smooth,100,99.99999996
1337,2270,water,71.41461069,71.41461063
1338,2271,rough,70.30747051,70.30747048
1339,2272,mixed,100,99.99999996
1340,2273,mixed,100,100
1341,2274,rough,6.798765225,6.79876522
1342,2275,mixed,62.26759691,62.26759693
1343,2276,smooth,65.441,65.44100007
1344,2278,rough,31.78274849,31.78274848
1345,2279,mixed,100,100.0000001
1346,2281,water,75.48921858,75.48921864
1347,2283,mixed,86.34202362,86.34202372
1348,2284,smooth,27.14322277,27.14322283
1349,2285,smooth,100,99.99999978
1350,2286,water,24.68248252,24.68248253
1351,2287,smooth,82.55171326,82.55171317
1352,2288,smooth,100,100.0000001
1353,2291,rough,34.20247771,34.20247765
1354,2292,rough,0.32650254,0.32650254
1355,2293,rough,44.90954018,44.90954016
1356,2295,rough,45.65387207,45.65387205
1357,2299,smooth,100,100
1358,2300,rough,7.39620602,7.396206023
1359,2302,smooth,100,99.99999996
1360,2308,rough,16.71554278,16.71554274
1361,2313,mixed,100,99.99999996
1362,2314,rough,23.51353429,23.51353428
1363,2316,smooth,39.1457304,39.14573044
1364,2317,mixed,100,99.99999989
1365,2318,rough,40.16450272,40.16450268
1366,2319,rough,95.01139535,95.01139546
1367,2320,mixed,31.145484,31.14548401
1368,2322,rough,33.14531731,33.14531727
1369,2326,rough,8.50989987,8.509899867
1370,2327,mixed,100,100.0000001
1371,2328,rough,99.94598872,99.94598861
1372,2330,mixed,95.72673464,95.7267346
1373,2331,smooth,27.96788293,27.96788292
1374,2333,mixed,100,100
1375,2335,rough,94.32400742,94.32400753
1376,2337,rough,43.98237793,43.98237795
1377,2338,smooth,100,100
1378,2339,rough,1.87794629,1.877946291
1379,2340,rough,82.26228645,82.26228642
1380,2347,mixed,100,100
1381,2349,water,96.69273524,96.69273513
1382,2352,smooth,0.836311275,0.836311276
1383,2353,rough,11.93319183,11.93319184
1384,2354,mixed,2.4770592,2.477059201
1385,2356,rough,0.8900815,0.8900815
1386,2357,rough,19.21223759,19.21223766
1387,2358,smooth,100,100
1388,2359,rough,52.012,52.0120001
1389,2361,mixed,99.25546738,99.25546734
1390,2362,rough,84.05539286,84.05539276
1391,2363,mixed,100,99.99999996
1392,2367,smooth,100,99.99999978
1393,2371,rough,85.8775336,85.87753376
1394,2372,rough,28.99209953,28.99209954
1395,2373,rough,100,100
1396,2376,rough,39.93829231,39.93829235
1397,2377,mixed,100,99.99999989
1398,2378,rough,54.76524725,54.76524739
1399,2379,mixed,100,100
1400,2380,smooth,26.0295,26.02950001
1401,2382,mixed,68.6985,68.69850013
1402,2385,smooth,100,99.99999989
1403,2386,smooth,100,99.99999996
1404,2388,rough,69.16398554,69.16398557
1405,2389,rough,4.85913267,4.859132668
1406,2395,mixed,62.267,62.26699998
1407,2397,water,34.99290491,34.99290492
1408,2399,mixed,1.783322475,1.783322474
1409,2400,rough,70.5092962,70.50929618
1410,2401,mixed,100,99.99999996
1411,2404,mixed,100,99.99999989
1412,2405,water,77.35632846,77.35632857
1413,2407,rough,36.75220331,36.7522033
1414,2408,water,98.02274905,98.02274879
1415,2409,smooth,87.361,87.3609999
1416,2410,rough,19.81366435,19.81366434
1417,2412,mixed,28.4582987,28.45829873
1418,2414,rough,51.16242555,51.16242549
1419,2415,smooth,100,99.99999996
1420,2418,rough,18.40378367,18.40378366
1421,2418,smooth,0.016967505,0.016967505
1422,2419,smooth,100,99.99999996
1423,2423,smooth,89.20561987,89.20561984
1424,2424,smooth,100,99.99999996
1425,2425,mixed,74.37,74.36999997
1426,2426,rough,47.78689294,47.78689283
1427,2431,rough,26.37118548,26.3711855
1428,2433,mixed,100,100
1429,2435,mixed,46.2255,46.22550005
1430,2436,smooth,100,99.99999989
1431,2437,rough,57.83386158,57.83386151
1432,2438,smooth,31.580847,31.58084696
1433,2440,smooth,100,99.99999985
1434,2441,mixed,77.1762359,77.17623616
1435,2442,rough,48.57763058,48.57763057
1436,2443,mixed,100,99.99999981
1437,2444,water,28.44525705,28.44525704
1438,2446,smooth,100,100
1439,2448,rough,36.33949707,36.33949706
1440,2449,rough,57.90121441,57.90121443
1441,2450,mixed,100,100
1442,2452,mixed,99.37026888,99.37026884
1443,2454,mixed,2.22789385,2.227893849
1444,2456,water,0.01945674,0.01945674
1445,2458,mixed,1.608892365,1.608892361
1446,2459,mixed,46.7204973,46.72049732
1447,2461,water,55.04923459,55.04923461
1448,2464,mixed,100,100
1449,2465,rough,13.23770321,13.23770322
1450,2469,mixed,100,99.99999996
1451,2470,smooth,100,100.0000002
1452,2471,mixed,38.80248025,38.80248026
1453,2472,rough,100,100.0000001
1454,2473,mixed,100,99.99999989
1455,2474,mixed,76.31165759,76.31165751
1456,2477,rough,6.5133975,6.513397504
1457,2479,smooth,30.27420816,30.27420817
1458,2482,water,17.12616708,17.12616709
1459,2484,smooth,99.00169564,99.0016956
1460,2485,mixed,35.1365,35.13650004
1461,2486,smooth,57.4017132,57.40171318
1462,2488,smooth,100,99.99999981
1463,2489,rough,15.43236345,15.43236347
1464,2491,smooth,100,99.99999989
1465,2493,smooth,100,100
1466,2494,mixed,100,99.99999981
1467,2497,rough,37.00854916,37.00854912
1468,2498,mixed,100,100.0000001
1469,2500,mixed,97.95752089,97.957521
1470,2503,rough,56.06124279,56.06124296
1471,2504,smooth,100,100.0000002
1472,2505,rough,52.68075231,52.68075233
1473,2507,water,87.77169023,87.7716901
1474,2508,mixed,45.51966651,45.51966649
1475,2508,rough,2.349486275,2.349486274
1476,2509,rough,6.29866052,6.298660522
1477,2512,smooth,100,100
1478,2514,mixed,100,100
1479,2516,water,7.78143879,7.781438799
1480,2519,mixed,38.71524452,38.71524448
1481,2521,rough,28.1335,28.13349997
1482,2524,mixed,100,100
1483,2525,water,53.51400722,53.5140072
1484,2529,rough,8.62291337,8.62291336
1485,2531,mixed,72.366325,72.36632503
1486,2533,smooth,73.664,73.66400003
